Date,Home,Away,Source
16.05.2026,HJK,Ilves,https://www.suomifutis.com/veikkausliiga/
16.05.2026,IFK Mariehamn,KuPS,https://www.suomifutis.com/veikkausliiga/
16.05.2026,SJK,FC Inter,https://www.suomifutis.com/veikkausliiga/
16.05.2026,AC Oulu,TPS,https://www.suomifutis.com/veikkausliiga/
16.05.2026,IF Gnistan,FF Jaro,https://www.suomifutis.com/veikkausliiga/
18.05.2026,FC Lahti,VPS,https://www.suomifutis.com/veikkausliiga/
20.05.2026,Ilves,FC Inter,https://www.suomifutis.com/veikkausliiga/
20.05.2026,KuPS,FF Jaro,https://www.suomifutis.com/veikkausliiga/
22.05.2026,VPS,HJK,https://www.suomifutis.com/veikkausliiga/
23.05.2026,FC Inter,TPS,https://www.suomifutis.com/veikkausliiga/
23.05.2026,FF Jaro,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
23.05.2026,Ilves,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
23.05.2026,KuPS,FC Lahti,https://www.suomifutis.com/veikkausliiga/
23.05.2026,SJK,AC Oulu,https://www.suomifutis.com/veikkausliiga/
30.05.2026,HJK,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
30.05.2026,IF Gnistan,SJK,https://www.suomifutis.com/veikkausliiga/
30.05.2026,KuPS,FC Inter,https://www.suomifutis.com/veikkausliiga/
30.05.2026,TPS,VPS,https://www.suomifutis.com/veikkausliiga/
30.05.2026,FC Lahti,Ilves,https://www.suomifutis.com/veikkausliiga/
31.05.2026,AC Oulu,FF Jaro,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FC Inter,AC Oulu,https://www.suomifutis.com/veikkausliiga/
13.06.2026,Ilves,TPS,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FF Jaro,HJK,https://www.suomifutis.com/veikkausliiga/
13.06.2026,VPS,KuPS,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FC Lahti,SJK,https://www.suomifutis.com/veikkausliiga/
13.06.2026,IFK Mariehamn,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
17.06.2026,HJK,FC Inter,https://www.suomifutis.com/veikkausliiga/
17.06.2026,Ilves,FF Jaro,https://www.suomifutis.com/veikkausliiga/
17.06.2026,TPS,KuPS,https://www.suomifutis.com/veikkausliiga/
17.06.2026,IF Gnistan,FC Lahti,https://www.suomifutis.com/veikkausliiga/
17.06.2026,SJK,VPS,https://www.suomifutis.com/veikkausliiga/
18.06.2026,AC Oulu,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FC Lahti,TPS,https://www.suomifutis.com/veikkausliiga/
23.06.2026,KuPS,Ilves,https://www.suomifutis.com/veikkausliiga/
23.06.2026,VPS,AC Oulu,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FC Inter,SJK,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FF Jaro,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
23.06.2026,IFK Mariehamn,HJK,https://www.suomifutis.com/veikkausliiga/
27.06.2026,Ilves,SJK,https://www.suomifutis.com/veikkausliiga/
27.06.2026,HJK,KuPS,https://www.suomifutis.com/veikkausliiga/
27.06.2026,IFK Mariehamn,FC Inter,https://www.suomifutis.com/veikkausliiga/
27.06.2026,IF Gnistan,VPS,https://www.suomifutis.com/veikkausliiga/
27.06.2026,TPS,FF Jaro,https://www.suomifutis.com/veikkausliiga/
27.06.2026,AC Oulu,FC Lahti,https://www.suomifutis.com/veikkausliiga/
04.07.2026,FC Lahti,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
04.07.2026,FF Jaro,Ilves,https://www.suomifutis.com/veikkausliiga/
04.07.2026,SJK,TPS,https://www.suomifutis.com/veikkausliiga/
04.07.2026,VPS,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
10.07.2026,VPS,SJK,https://www.suomifutis.com/veikkausliiga/
11.07.2026,FC Lahti,HJK,https://www.suomifutis.com/veikkausliiga/
11.07.2026,IF Gnistan,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
11.07.2026,TPS,AC Oulu,https://www.suomifutis.com/veikkausliiga/
18.07.2026,HJK,VPS,https://www.suomifutis.com/veikkausliiga/
18.07.2026,AC Oulu,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
18.07.2026,SJK,KuPS,https://www.suomifutis.com/veikkausliiga/
19.07.2026,FF Jaro,FC Inter,https://www.suomifutis.com/veikkausliiga/
20.07.2026,TPS,Ilves,https://www.suomifutis.com/veikkausliiga/
20.07.2026,IFK Mariehamn,FC Lahti,https://www.suomifutis.com/veikkausliiga/
24.07.2026,FF Jaro,SJK,https://www.suomifutis.com/veikkausliiga/
25.07.2026,IFK Mariehamn,AC Oulu,https://www.suomifutis.com/veikkausliiga/
25.07.2026,KuPS,VPS,https://www.suomifutis.com/veikkausliiga/
25.07.2026,Ilves,FC Lahti,https://www.suomifutis.com/veikkausliiga/
26.07.2026,FC Inter,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
26.07.2026,HJK,TPS,https://www.suomifutis.com/veikkausliiga/
01.08.2026,TPS,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
01.08.2026,VPS,FC Inter,https://www.suomifutis.com/veikkausliiga/
01.08.2026,AC Oulu,Ilves,https://www.suomifutis.com/veikkausliiga/
01.08.2026,FC Lahti,FF Jaro,https://www.suomifutis.com/veikkausliiga/
01.08.2026,IF Gnistan,KuPS,https://www.suomifutis.com/veikkausliiga/
03.08.2026,SJK,HJK,https://www.suomifutis.com/veikkausliiga/
07.08.2026,SJK,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
08.08.2026,AC Oulu,HJK,https://www.suomifutis.com/veikkausliiga/
08.08.2026,FC Inter,FC Lahti,https://www.suomifutis.com/veikkausliiga/
08.08.2026,Ilves,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
08.08.2026,KuPS,TPS,https://www.suomifutis.com/veikkausliiga/
08.08.2026,FF Jaro,VPS,https://www.suomifutis.com/veikkausliiga/
14.08.2026,VPS,TPS,https://www.suomifutis.com/veikkausliiga/
15.08.2026,FC Lahti,KuPS,https://www.suomifutis.com/veikkausliiga/
15.08.2026,AC Oulu,FC Inter,https://www.suomifutis.com/veikkausliiga/
15.08.2026,IFK Mariehamn,SJK,https://www.suomifutis.com/veikkausliiga/
16.08.2026,HJK,FF Jaro,https://www.suomifutis.com/veikkausliiga/
17.08.2026,IF Gnistan,Ilves,https://www.suomifutis.com/veikkausliiga/
21.08.2026,SJK,FC Lahti,https://www.suomifutis.com/veikkausliiga/
22.08.2026,TPS,FC Inter,https://www.suomifutis.com/veikkausliiga/
22.08.2026,FF Jaro,AC Oulu,https://www.suomifutis.com/veikkausliiga/
22.08.2026,Ilves,VPS,https://www.suomifutis.com/veikkausliiga/
22.08.2026,KuPS,IFK Mariehamn,https://www.suomifutis.com/veikkausliiga/
23.08.2026,HJK,IF Gnistan,https://www.suomifutis.com/veikkausliiga/
31.08.2026,AC Oulu,SJK,https://www.suomifutis.com/veikkausliiga/
31.08.2026,FC Inter,KuPS,https://www.suomifutis.com/veikkausliiga/
31.08.2026,IF Gnistan,TPS,https://www.suomifutis.com/veikkausliiga/
31.08.2026,IFK Mariehamn,FF Jaro,https://www.suomifutis.com/veikkausliiga/
31.08.2026,Ilves,HJK,https://www.suomifutis.com/veikkausliiga/
31.08.2026,VPS,FC Lahti,https://www.suomifutis.com/veikkausliiga/
